Goal, Target, Indicator, SeriesCode, SeriesDescription, GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail,  UpperBound, LowerBound, BasePeriod, Source, FootNote, Nature, Units,[Reporting Type]
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),52,Barbados,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),52,Barbados,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),56,Belgium,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),56,Belgium,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),56,Belgium,2010,73.8,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),56,Belgium,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),60,Bermuda,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),60,Bermuda,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),60,Bermuda,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),60,Bermuda,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),64,Bhutan,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),64,Bhutan,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),64,Bhutan,2010,1.4,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),64,Bhutan,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),68,Bolivia (Plurinational State of),2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),68,Bolivia (Plurinational State of),2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),68,Bolivia (Plurinational State of),2010,1.2,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),68,Bolivia (Plurinational State of),2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),70,Bosnia and Herzegovina,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),70,Bosnia and Herzegovina,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),70,Bosnia and Herzegovina,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),70,Bosnia and Herzegovina,2015,2.7,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),72,Botswana,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),72,Botswana,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),72,Botswana,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),72,Botswana,2015,2.1,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),76,Brazil,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),76,Brazil,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),76,Brazil,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),76,Brazil,2015,3,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),84,Belize,2000,1.3,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),84,Belize,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),84,Belize,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),84,Belize,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),86,British Indian Ocean Territory,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),86,British Indian Ocean Territory,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),86,British Indian Ocean Territory,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),86,British Indian Ocean Territory,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),90,Solomon Islands,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),90,Solomon Islands,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),90,Solomon Islands,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),90,Solomon Islands,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),92,British Virgin Islands,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),92,British Virgin Islands,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),92,British Virgin Islands,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),92,British Virgin Islands,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),96,Brunei Darussalam,2000,NA,1998-2002,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),96,Brunei Darussalam,2005,NA,2003-2007,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),96,Brunei Darussalam,2010,NA,2008-2012,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),96,Brunei Darussalam,2015,NA,2013-2017,,,,Food and Agriculture Organisation of United Nations (FAO),NA = A figure was not provided.,NA,PERCENT,G
